Step,Random,Greedy,E-greedy (e=0.01),E-greedy (e=0.05),E-greedy (e=0.1)
0,3,0,0,0,0
1,4,1,1,1,1
2,3,2,2,2,2
3,2,3,3,3,3
4,2,4,4,4,4
5,2,3,3,3,3
6,1,3,3,3,3
7,3,3,3,3,3
8,4,3,3,3,3
9,3,3,3,3,3
10,0,3,3,4,3
11,0,3,3,3,3
12,2,3,3,3,3
13,0,3,3,3,3
14,0,3,3,3,3
15,2,3,3,3,3
16,2,3,3,3,3
17,0,3,3,3,2
18,1,3,3,3,3
19,0,3,3,3,3
20,1,3,3,3,3
21,0,3,3,3,3
22,4,3,3,3,3
23,3,3,3,3,3
24,2,3,3,3,3
25,3,3,3,3,3
26,0,3,3,3,3
27,0,3,3,3,0
28,1,3,3,0,3
29,4,3,3,3,3
30,3,3,3,3,3
31,4,3,3,3,3
32,0,3,3,3,3
33,1,3,3,3,1
34,3,3,3,1,3
35,0,3,3,3,3
36,0,3,3,3,3
37,4,3,3,3,3
38,3,3,3,3,3
39,4,3,3,3,1
40,1,3,3,3,3
41,2,3,3,3,3
42,3,3,3,3,3
43,0,3,3,3,3
44,0,3,3,3,3
45,3,3,3,3,3
46,0,3,3,3,3
47,0,3,3,3,3
48,2,3,3,3,3
49,0,3,3,3,3
50,0,3,3,3,3
51,3,3,3,3,3
52,4,3,3,3,3
53,2,3,3,3,3
54,2,3,3,2,3
55,4,3,3,3,3
56,3,3,3,3,3
57,2,3,3,3,3
58,0,3,3,3,3
59,3,3,3,3,3
60,0,3,3,3,0
61,0,3,3,3,3
62,0,3,3,3,3
63,0,3,3,3,3
64,1,3,3,3,3
65,1,3,3,3,0
66,3,3,3,3,3
67,1,3,3,3,3
68,0,3,3,3,3
69,4,3,3,3,3
70,4,3,3,3,3
71,4,3,3,3,3
72,3,3,3,3,3
73,1,3,3,3,3
74,1,3,3,3,3
75,0,3,3,3,3
76,0,3,3,3,3
77,2,3,3,3,3
78,1,3,3,3,3
79,1,3,3,3,3
80,3,3,3,3,3
81,4,3,3,3,1
82,2,3,3,3,3
83,1,3,3,3,3
84,0,3,3,3,3
85,1,3,3,3,3
86,2,3,3,3,3
87,2,3,3,3,3
88,1,3,3,3,3
89,0,3,3,3,3
90,3,3,3,3,3
91,4,3,3,3,3
92,4,3,3,3,3
93,0,3,3,3,3
94,4,3,3,3,3
95,4,3,3,3,3
96,3,3,3,3,3
97,4,3,3,3,3
98,1,3,3,3,3
99,3,3,3,3,3
100,1,3,3,3,3
101,3,3,3,3,3
102,0,3,3,3,3
103,3,3,3,3,3
104,0,3,3,0,4
105,0,3,3,3,3
106,2,3,0,3,3
107,4,3,3,4,3
108,3,3,3,3,3
109,3,3,3,3,3
110,0,3,3,3,3
111,0,3,3,3,3
112,2,3,3,3,3
113,3,3,3,3,3
114,4,3,3,3,3
115,3,3,3,3,3
116,3,3,3,3,3
117,4,3,3,3,3
118,1,3,3,3,3
119,1,3,3,3,3
120,2,3,3,3,3
121,2,3,3,3,3
122,1,3,3,3,3
123,2,3,3,3,3
124,2,3,3,3,3
125,3,3,3,3,3
126,3,3,3,3,3
127,4,3,3,3,3
128,0,3,3,3,3
129,4,3,3,3,3
130,2,3,3,3,3
131,3,3,3,3,3
132,2,3,3,3,3
133,0,3,3,3,3
134,3,3,3,3,3
135,3,3,3,3,3
136,4,3,3,3,3
137,0,3,3,3,3
138,0,3,3,3,3
139,0,3,3,3,3
140,3,3,3,3,4
141,1,3,3,3,3
142,0,3,3,3,3
143,1,3,3,4,3
144,4,3,3,3,3
145,4,3,3,3,3
146,1,3,3,3,1
147,1,3,3,3,3
148,4,3,3,3,3
149,3,3,3,3,3
150,3,3,3,3,3
151,3,3,3,3,3
152,1,3,3,3,3
153,0,3,3,3,3
154,3,3,3,3,3
155,1,3,3,3,3
156,1,3,3,3,3
157,2,3,3,3,3
158,3,3,3,3,3
159,2,3,3,4,3
160,3,3,3,3,3
161,4,3,3,3,3
162,0,3,3,3,3
163,4,3,3,3,3
164,4,3,3,3,0
165,0,3,3,3,3
166,4,3,3,3,2
167,4,3,3,3,3
168,2,3,3,3,3
169,0,3,3,3,3
170,2,3,3,3,3
171,4,3,2,3,3
172,0,3,3,3,3
173,3,3,3,3,3
174,3,3,3,3,3
175,1,3,3,3,3
176,3,3,3,3,3
177,1,3,3,3,3
178,3,3,3,3,3
179,0,3,3,3,3
180,2,3,3,3,3
181,3,3,3,3,3
182,0,3,3,3,3
183,1,3,3,3,3
184,0,3,3,3,3
185,4,3,3,3,3
186,4,3,3,3,3
187,2,3,3,3,3
188,0,3,3,3,3
189,0,3,3,3,3
190,2,3,3,3,3
191,1,3,3,3,3
192,4,3,3,3,3
193,4,3,3,3,3
194,4,3,3,3,3
195,0,3,3,3,3
196,4,3,3,3,3
197,4,3,3,3,3
198,4,3,3,3,3
199,1,3,3,3,3
200,3,3,3,3,3
201,4,3,3,3,3
202,1,3,3,3,3
203,1,3,3,3,3
204,0,3,3,3,3
205,4,3,3,3,3
206,1,3,3,3,3
207,3,3,3,3,3
208,1,3,3,3,3
209,2,3,3,3,3
210,2,3,3,3,3
211,2,3,3,3,3
212,0,3,3,3,3
213,3,3,3,3,3
214,3,3,3,3,3
215,0,3,3,3,3
216,3,3,3,3,3
217,4,3,3,3,3
218,3,3,3,3,3
219,4,3,3,3,1
220,2,3,3,3,3
221,4,3,3,3,3
222,4,3,3,3,3
223,0,3,3,3,3
224,3,3,3,1,3
225,3,3,3,3,3
226,0,3,3,3,3
227,1,3,3,3,3
228,3,3,1,3,3
229,1,3,3,3,3
230,3,3,3,3,3
231,0,3,3,3,3
232,2,3,3,3,3
233,3,3,3,3,3
234,0,3,3,3,3
235,4,3,3,3,3
236,1,3,3,3,3
237,0,3,3,3,3
238,1,3,3,3,3
239,3,3,3,3,3
240,0,3,3,3,3
241,0,3,3,3,0
242,2,3,3,3,3
243,4,3,3,3,3
244,3,3,3,3,4
245,4,3,3,3,3
246,4,3,3,0,3
247,1,3,3,3,3
248,2,3,3,3,3
249,0,3,3,3,3
250,4,3,0,0,3
251,1,3,3,3,3
252,3,3,3,3,3
253,4,3,3,3,3
254,0,3,0,3,3
255,4,3,3,3,3
256,4,3,3,3,3
257,0,3,3,3,3
258,1,3,3,1,3
259,3,3,3,3,3
260,0,3,3,3,3
261,0,3,3,3,3
262,0,3,1,3,3
263,0,3,3,3,3
264,2,3,3,3,4
265,2,3,3,3,3
266,0,3,3,3,3
267,3,3,3,3,3
268,1,3,3,3,3
269,1,3,3,3,3
270,2,3,3,3,3
271,3,3,3,3,4
272,2,3,3,3,0
273,4,3,3,3,3
274,1,3,3,3,3
275,4,3,3,3,3
276,4,3,3,3,3
277,3,3,3,4,3
278,0,3,3,0,3
279,3,3,3,3,3
280,1,3,3,3,3
281,3,3,3,3,3
282,4,3,3,3,3
283,4,3,3,3,3
284,1,3,3,3,3
285,3,3,3,3,3
286,4,3,3,3,3
287,0,3,3,3,3
288,3,3,3,3,3
289,4,3,3,3,3
290,4,3,3,3,3
291,1,3,3,3,3
292,0,3,3,3,3
293,1,3,3,3,3
294,2,3,3,3,3
295,4,3,3,3,3
296,3,3,3,3,3
297,1,3,3,3,3
298,2,3,3,3,3
299,0,3,3,3,3
300,0,3,3,3,3
301,4,3,3,3,0
302,0,3,3,3,3
303,1,3,3,3,3
304,4,3,3,3,3
305,0,3,3,3,3
306,1,3,3,3,3
307,4,3,3,0,3
308,2,3,3,3,3
309,3,3,3,3,3
310,0,3,3,3,3
311,3,3,3,3,3
312,2,3,3,3,3
313,0,3,3,3,3
314,2,3,3,3,2
