Step,Random,Greedy,E-greedy (e=0.01),E-greedy (e=0.05),E-greedy (e=0.1)
315,4,3,3,3,3
316,3,3,3,3,3
317,4,3,3,3,3
318,4,3,3,3,3
319,1,3,3,3,3
320,1,3,3,3,3
321,3,3,3,3,3
322,3,3,3,3,3
323,3,3,3,3,3
324,1,3,3,3,3
325,4,3,3,3,0
326,2,3,3,3,0
327,1,3,3,4,3
328,1,3,3,3,3
329,0,3,3,3,3
330,0,3,3,3,3
331,4,3,3,3,3
332,0,3,3,3,3
333,1,3,3,3,3
334,3,3,3,3,3
335,1,3,3,3,3
336,4,3,3,3,3
337,3,3,3,3,3
338,0,3,3,3,3
339,1,3,3,3,1
340,0,3,3,3,3
341,1,3,3,3,3
342,2,3,3,3,3
343,2,3,3,3,3
344,0,3,3,3,3
345,0,3,3,3,3
346,1,3,3,1,3
347,1,3,3,3,3
348,0,3,3,3,3
349,2,3,3,3,3
350,0,3,3,3,3
351,0,3,3,3,3
352,3,3,3,3,3
353,1,3,3,3,3
354,3,3,3,3,3
355,3,3,3,3,3
356,3,3,3,3,3
357,1,3,3,3,2
358,1,3,3,3,3
359,0,3,3,3,3
360,4,3,3,3,3
361,2,3,3,3,3
362,2,3,3,3,3
363,2,3,3,3,3
364,0,3,3,2,3
365,1,3,3,3,3
366,3,3,3,3,3
367,0,3,3,3,3
368,2,3,3,3,3
369,4,3,3,3,3
370,2,3,3,3,3
371,4,3,3,3,3
372,3,3,3,3,3
373,4,3,3,3,3
374,2,3,3,3,3
375,0,3,3,3,3
376,2,3,3,3,3
377,2,3,3,3,3
378,2,3,3,3,3
379,0,3,3,3,3
380,2,3,3,3,3
381,3,3,3,3,3
382,3,3,3,3,3
383,3,3,3,3,3
384,3,3,3,3,3
385,3,3,3,3,3
386,3,3,3,3,3
387,4,3,3,3,4
388,3,3,3,3,3
389,0,3,3,3,3
390,0,3,3,3,3
391,0,3,3,3,3
392,1,3,3,3,3
393,0,3,3,3,3
394,4,3,3,4,2
395,0,3,3,3,3
396,4,3,3,3,3
397,2,3,3,3,3
398,0,3,3,3,3
399,1,3,3,3,3
400,3,3,3,3,3
401,3,3,3,2,3
402,4,3,3,3,3
403,2,3,3,3,3
404,0,3,3,3,3
405,0,3,3,3,3
406,3,3,3,3,3
407,0,3,3,3,3
408,4,3,3,3,3
409,4,3,3,3,3
410,2,3,3,3,3
411,1,3,3,3,1
412,3,3,3,3,4
413,2,3,3,3,3
414,4,3,3,3,3
415,0,3,3,3,3
416,4,3,3,3,3
417,3,3,3,3,3
418,0,3,3,3,3
419,4,3,3,1,3
420,0,3,3,3,3
421,2,3,3,3,3
422,4,3,3,3,3
423,1,3,3,3,3
424,2,3,3,3,3
425,0,3,3,0,4
426,1,3,3,3,3
427,1,3,3,3,3
428,1,3,3,3,3
429,0,3,3,3,3
430,2,3,3,3,3
431,2,3,3,3,3
432,4,3,3,4,3
433,1,3,3,3,3
434,0,3,3,3,3
435,0,3,3,3,3
436,2,3,3,3,3
437,2,3,3,3,3
438,1,3,3,3,3
439,2,3,3,3,3
440,2,3,3,3,3
441,4,3,3,3,3
442,4,3,3,3,3
443,2,3,3,3,3
444,2,3,3,3,3
445,1,3,3,3,3
446,4,3,3,3,3
447,4,3,3,3,3
448,0,3,3,3,3
449,1,3,3,3,3
450,0,3,3,3,3
451,4,3,3,3,3
452,0,3,3,3,3
453,4,3,3,3,3
454,0,3,3,3,3
455,0,3,3,3,3
456,2,3,3,3,2
457,0,3,3,3,3
458,4,3,3,3,3
459,0,3,3,3,3
460,4,3,3,3,3
461,1,3,3,3,3
462,2,3,3,3,3
463,0,3,3,3,0
464,2,3,3,3,1
465,2,3,3,3,3
466,4,3,3,3,3
467,2,3,3,3,3
468,4,3,3,3,3
469,1,3,3,3,3
470,2,3,3,3,3
471,1,3,3,3,3
472,1,3,3,3,3
473,1,3,3,3,3
474,2,3,3,3,3
475,2,3,3,3,3
476,0,3,3,3,3
477,4,3,3,3,2
478,2,3,3,3,3
479,2,3,3,3,4
480,4,3,3,3,3
481,3,3,3,3,3
482,0,3,3,3,3
483,2,3,3,3,3
484,3,3,3,3,3
485,0,3,3,3,3
486,4,3,3,3,3
487,4,3,3,2,3
488,0,3,3,3,3
489,0,3,3,3,3
490,1,3,3,3,3
491,0,3,3,3,3
492,0,3,3,3,3
493,3,3,3,3,3
494,1,3,3,3,3
495,3,3,3,3,3
496,3,3,3,3,3
497,2,3,3,3,3
498,0,3,3,3,3
499,0,3,3,3,3
500,4,3,3,3,3
501,3,3,3,3,0
502,1,3,3,3,3
503,0,3,3,3,3
504,1,3,3,3,3
505,3,3,3,3,3
506,4,3,3,3,3
507,4,3,3,3,3
508,0,3,3,3,3
509,3,3,3,3,3
510,3,3,3,3,3
511,2,3,3,3,3
512,2,3,3,0,3
513,0,3,3,3,3
514,1,3,3,3,3
515,4,3,3,3,3
516,4,3,3,3,3
517,4,3,3,3,0
518,1,3,3,3,3
519,1,3,3,3,3
520,4,3,3,3,3
521,2,3,3,3,3
522,1,3,3,3,3
523,0,3,3,3,3
524,3,3,3,3,3
525,2,3,3,3,3
526,3,3,3,3,3
527,3,3,3,3,2
528,1,3,3,0,3
529,2,3,3,3,3
530,0,3,3,3,3
531,0,3,3,3,3
532,4,3,3,3,3
533,0,3,3,3,4
534,0,3,3,3,3
535,3,3,3,3,3
536,3,3,3,3,3
537,1,3,3,3,3
538,1,3,3,2,1
539,2,3,3,3,3
540,0,3,3,3,3
541,0,3,3,3,3
542,4,3,3,3,3
543,1,3,3,3,3
544,3,3,3,4,3
545,1,3,3,3,3
546,4,3,3,3,2
547,0,3,3,3,3
548,3,3,3,3,3
549,1,3,2,3,3
550,2,3,3,3,3
551,3,3,3,3,2
552,1,3,3,3,3
553,2,3,3,3,3
554,2,3,3,3,2
555,2,3,3,3,3
556,3,3,3,3,3
557,2,3,3,3,3
558,1,3,3,3,3
559,3,3,3,3,3
560,3,3,3,3,3
561,2,3,3,3,3
562,1,3,3,3,3
563,4,3,3,2,3
564,0,3,3,3,3
565,0,3,3,3,3
566,4,3,3,3,3
567,0,3,3,3,3
568,4,3,3,3,3
569,1,3,3,3,4
570,2,3,3,3,3
571,1,3,3,3,3
572,3,3,3,3,3
573,1,3,3,3,3
574,2,3,3,3,3
575,3,3,3,3,3
576,2,3,3,4,3
577,1,3,3,3,0
578,3,3,3,3,3
579,4,3,3,3,3
580,1,3,3,3,3
581,1,3,3,3,3
582,3,3,3,3,3
583,0,3,3,3,3
584,1,3,3,3,2
585,3,3,3,3,3
586,0,3,3,3,3
587,0,3,3,3,3
588,1,3,3,0,3
589,2,3,3,3,3
590,4,3,3,3,3
591,2,3,3,3,3
592,3,3,3,3,3
593,1,3,3,3,3
594,2,3,3,3,3
595,4,3,3,3,3
596,0,3,3,3,4
597,3,3,3,3,3
598,1,3,3,3,3
599,3,3,3,3,3
600,4,3,3,3,3
601,4,3,3,3,3
602,0,3,3,3,3
603,1,3,3,3,3
604,1,3,3,3,3
605,2,3,3,3,3
606,3,3,3,3,3
607,2,3,3,3,3
608,4,3,3,3,3
609,3,3,3,4,3
610,1,3,3,3,3
611,2,3,3,3,3
612,3,3,3,3,3
613,2,3,3,3,3
614,1,3,3,3,3
615,0,3,3,3,3
616,2,3,3,3,3
617,1,3,3,3,3
618,3,3,3,3,3
619,1,3,3,3,3
620,3,3,3,3,3
621,3,3,3,3,3
622,1,3,3,3,3
623,0,3,3,3,3
624,3,3,3,3,3
625,4,3,3,3,3
626,0,3,3,3,3
627,3,3,3,3,3
628,1,3,3,3,3
629,1,3,3,3,3
630,3,3,3,3,3
631,3,3,3,3,2
632,4,3,3,3,3
633,0,3,3,3,1
634,0,3,3,3,3
635,3,3,3,3,3
636,2,3,3,3,3
637,0,3,3,3,3
638,0,3,3,3,3
639,0,3,3,3,3
640,0,3,3,3,3
641,2,3,3,3,3
642,1,3,3,3,3
643,1,3,3,1,3
644,4,3,3,3,3
645,3,3,3,3,2
646,4,3,3,3,3
647,3,3,3,3,1
648,2,3,3,3,3
649,2,3,3,3,3
650,3,3,3,3,3
651,1,3,3,3,3
652,2,3,3,3,3
653,0,3,3,3,3
654,3,3,3,3,3
655,2,3,3,3,3
656,4,3,3,3,3
657,0,3,3,3,3
658,1,3,3,3,3
659,3,3,3,3,2
660,3,3,3,3,3
661,2,3,3,3,4
662,1,3,3,1,3
663,1,3,3,3,3
664,3,3,3,3,3
665,1,3,3,3,3
666,1,3,3,3,3
667,3,3,3,3,3
668,1,3,3,3,3
669,1,3,3,3,3
670,4,3,3,3,3
671,4,3,3,3,3
672,3,3,3,3,3
673,2,3,3,3,3
674,3,3,3,3,3
675,2,3,3,3,3
676,0,3,3,3,3
677,4,3,3,3,3
678,2,3,3,3,3
679,3,3,3,3,3
680,2,3,3,3,3
681,0,3,3,3,3
682,1,3,3,3,3
683,4,3,3,3,3
684,4,3,3,3,3
685,4,3,3,3,3
686,0,3,3,3,3
687,1,3,3,3,3
688,3,3,3,3,3
689,4,3,3,3,3
690,2,3,3,3,3
691,4,3,3,3,3
692,3,3,3,3,3
693,3,3,3,3,0
694,0,3,3,3,3
695,1,3,3,3,3
696,2,3,3,3,3
697,2,3,3,3,3
698,2,3,3,3,3
699,2,3,3,3,3
700,3,3,3,3,3
701,1,3,3,3,3
702,1,3,3,3,1
703,0,3,3,3,3
704,2,3,3,3,3
705,4,3,3,3,3
706,4,3,3,3,3
707,3,3,3,3,3
708,0,3,3,3,3
709,0,3,3,0,3
710,0,3,3,3,3
711,2,3,1,3,3
712,4,3,3,3,3
713,0,3,3,3,0
714,0,3,3,3,3
715,4,3,3,3,3
716,1,3,3,3,3
717,4,3,3,3,3
718,0,3,3,1,3
719,3,3,3,3,3
720,2,3,3,3,4
721,2,3,3,3,3
722,4,3,3,3,3
723,1,3,3,3,3
724,4,3,3,3,3
725,0,3,3,3,3
726,4,3,3,3,3
727,0,3,3,3,3
728,0,3,3,3,3
729,4,3,3,3,3
730,1,3,3,3,3
731,3,3,3,3,3
732,3,3,3,3,3
733,0,3,3,3,1
734,2,3,3,3,3
735,3,3,3,3,3
736,1,3,3,3,3
737,0,3,3,3,3
738,2,3,3,3,3
739,1,3,3,0,3
740,3,3,3,3,3
741,3,3,3,3,3
742,1,3,3,3,3
743,0,3,3,3,3
744,0,3,3,3,3
745,3,3,3,3,3
746,0,3,3,3,3
747,2,3,3,3,3
748,3,3,3,3,3
749,1,3,3,3,3
750,3,3,3,3,3
751,3,3,3,3,3
752,0,3,3,3,3
753,4,3,3,3,3
754,3,3,3,3,3
755,0,3,3,3,3
756,0,3,3,3,3
757,1,3,3,3,3
758,0,3,3,3,3
759,4,3,3,3,3
760,1,3,3,3,3
761,2,3,3,3,3
762,1,3,3,3,3
763,1,3,3,3,3
764,0,3,3,3,3
765,4,3,3,3,3
766,0,3,3,3,3
767,1,3,3,3,0
768,1,3,3,3,3
769,1,3,3,3,2
770,2,3,3,3,3
771,0,3,3,3,3
772,3,3,3,3,2
773,4,3,3,3,3
774,4,3,3,3,3
775,3,3,3,3,3
776,0,3,3,3,3
777,1,3,3,3,3
778,2,3,3,3,3
779,3,3,3,3,3
780,4,3,3,3,3
781,1,3,3,3,3
782,0,3,3,3,3
783,2,3,3,0,3
784,3,3,3,3,3
785,4,3,3,3,3
786,4,3,3,3,3
787,1,3,3,3,3
788,4,3,3,3,3
789,3,3,3,3,3
790,3,3,3,3,3
791,0,3,3,3,3
792,1,3,3,3,3
793,1,3,3,3,3
794,3,3,3,3,3
795,4,3,3,3,3
796,4,3,3,3,3
797,1,3,3,3,3
798,1,3,3,3,3
799,0,3,3,3,3
800,1,3,3,3,3
801,3,3,3,3,3
802,1,3,3,3,3
803,1,3,3,3,3
804,2,3,3,3,3
805,3,3,3,3,3
806,1,3,3,3,3
807,2,3,3,3,3
808,0,3,3,3,3
809,1,3,3,3,3
810,2,3,3,2,3
811,4,3,3,3,3
812,0,3,3,3,3
813,1,3,3,3,3
814,1,3,3,3,3
815,3,3,3,3,3
816,1,3,3,3,3
817,4,3,3,3,3
818,2,3,3,3,4
819,0,3,3,3,3
820,3,3,3,3,3
821,3,3,3,3,3
822,2,3,3,3,3
823,2,3,3,3,3
824,2,3,3,3,3
825,1,3,3,3,3
826,3,3,3,3,3
827,4,3,3,3,3
828,2,3,3,3,3
829,4,3,3,3,3
830,3,3,3,3,3
831,1,3,3,3,3
832,2,3,3,3,3
833,1,3,3,3,3
834,3,3,3,3,3
835,1,3,3,3,3
836,2,3,3,2,3
837,3,3,3,3,3
838,2,3,3,3,3
839,2,3,3,3,3
840,1,3,3,3,3
841,0,3,3,3,3
842,1,3,3,3,3
843,1,3,3,3,3
844,0,3,3,3,0
845,2,3,3,3,3
846,2,3,3,3,3
847,3,3,3,3,3
848,3,3,3,3,3
849,2,3,3,3,3
850,1,3,3,3,0
851,1,3,3,3,3
852,0,3,3,3,3
853,1,3,3,3,3
854,4,3,3,3,3
855,1,3,3,3,3
856,2,3,3,3,3
857,0,3,3,3,3
858,4,3,3,3,1
859,4,3,3,3,3
860,0,3,3,0,3
861,2,3,3,3,3
862,0,3,3,3,3
863,1,3,3,3,3
864,3,3,3,3,3
865,3,3,3,3,3
866,4,3,3,3,3
867,2,3,3,3,3
868,4,3,3,3,3
869,1,3,3,3,3
870,3,3,3,3,3
871,0,3,3,3,3
872,3,3,3,3,3
873,2,3,3,3,3
874,1,3,3,3,3
875,1,3,3,3,3
876,0,3,3,3,3
877,0,3,3,3,1
878,2,3,3,3,3
879,4,3,3,3,3
880,1,3,3,3,3
881,2,3,3,3,3
882,1,3,3,3,3
883,1,3,3,3,3
884,0,3,3,3,0
885,1,3,3,3,3
886,0,3,3,3,3
887,0,3,3,3,3
888,4,3,3,3,3
889,4,3,3,3,3
890,4,3,3,3,3
891,4,3,3,3,3
892,4,3,3,3,3
893,4,3,3,3,3
894,2,3,3,1,1
895,3,3,3,3,4
896,4,3,3,3,3
897,4,3,3,3,3
898,1,3,3,3,3
899,0,3,3,3,3
900,1,3,3,3,3
901,3,3,3,0,3
902,0,3,3,3,3
903,0,3,3,3,3
904,2,3,3,3,3
905,1,3,3,3,3
906,0,3,3,3,3
907,2,3,3,3,3
908,2,3,3,3,3
909,3,3,3,3,3
910,3,3,3,3,2
911,2,3,3,3,3
912,0,3,3,3,3
913,3,3,3,3,3
914,3,3,3,3,3
915,1,3,3,3,3
916,1,3,3,3,3
917,4,3,3,3,3
918,2,3,3,3,3
919,1,3,3,3,3
920,0,3,3,3,3
921,2,3,3,3,3
922,0,3,3,3,3
923,3,3,3,3,3
924,3,3,3,3,2
925,1,3,3,3,3
926,0,3,3,3,1
927,0,3,3,3,0
928,0,3,3,2,3
929,4,3,3,3,3
930,1,3,3,3,3
931,2,3,3,3,3
932,0,3,3,3,2
933,1,3,3,3,3
934,0,3,3,3,3
935,0,3,3,3,3
936,4,3,3,3,3
937,4,3,3,3,3
938,4,3,3,3,3
939,0,3,3,3,1
940,2,3,3,3,3
941,2,3,3,3,3
942,1,3,3,2,3
943,0,3,3,3,3
944,2,3,3,1,3
945,4,3,3,3,3
946,0,3,3,3,3
947,2,3,3,3,3
948,1,3,3,3,3
949,1,3,3,3,3
950,2,3,3,3,3
951,0,3,3,3,1
952,4,3,3,3,3
953,2,3,3,3,3
954,2,3,3,3,2
955,1,3,3,3,3
956,4,3,3,3,3
957,2,3,3,3,3
958,4,3,3,3,3
959,1,3,3,3,3
960,3,3,3,3,3
961,2,3,3,3,3
962,4,3,3,3,3
963,1,3,3,3,3
964,1,3,3,1,3
965,0,3,3,3,3
966,4,3,3,3,2
967,1,3,3,3,3
968,0,3,3,3,3
969,4,3,3,3,1
970,3,3,3,1,3
971,0,3,3,3,2
972,4,3,3,3,3
973,0,3,3,3,3
974,2,3,3,1,3
975,0,3,3,3,3
976,4,3,3,3,3
977,1,3,3,3,3
978,2,3,3,3,3
979,2,3,3,3,2
980,4,3,3,3,3
981,3,3,3,3,3
982,3,3,3,3,3
983,0,3,3,3,0
984,2,3,3,3,0
985,1,3,3,3,3
986,0,3,3,3,3
987,4,3,3,3,3
988,3,3,3,3,3
989,0,3,3,3,3
990,1,3,3,3,3
991,3,3,3,4,3
992,3,3,3,3,3
993,2,3,3,3,3
994,1,3,3,3,3
995,1,3,3,3,3
996,3,3,3,3,3
997,1,3,3,3,4
998,3,3,3,3,3
999,0,3,3,3,3
