Step,Random,Greedy,E-greedy (e=0.01),E-greedy (e=0.05),E-greedy (e=0.1)
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,2.0,1.0,1.0,1.0
6,2.0,2.0,2.0,2.0,2.0
7,3.0,2.0,3.0,3.0,3.0
8,3.0,3.0,4.0,4.0,4.0
9,4.0,3.0,4.0,4.0,5.0
10,4.0,4.0,5.0,4.0,6.0
11,4.0,5.0,6.0,5.0,7.0
12,4.0,6.0,7.0,6.0,8.0
13,5.0,7.0,8.0,7.0,8.0
14,5.0,7.0,8.0,8.0,9.0
15,6.0,8.0,9.0,9.0,10.0
16,6.0,9.0,10.0,9.0,11.0
17,6.0,10.0,11.0,10.0,11.0
18,6.0,11.0,12.0,11.0,12.0
19,6.0,12.0,13.0,12.0,13.0
20,7.0,13.0,14.0,13.0,14.0
21,7.0,14.0,14.0,14.0,15.0
22,8.0,15.0,15.0,15.0,15.0
23,9.0,16.0,16.0,15.0,16.0
24,9.0,16.0,17.0,16.0,17.0
25,9.0,17.0,18.0,17.0,17.0
26,9.0,18.0,19.0,17.0,17.0
27,10.0,19.0,20.0,17.0,17.0
28,10.0,20.0,21.0,17.0,18.0
29,10.0,20.0,22.0,18.0,19.0
30,10.0,21.0,23.0,19.0,20.0
31,10.0,22.0,24.0,20.0,21.0
32,11.0,23.0,25.0,21.0,22.0
33,11.0,24.0,26.0,22.0,22.0
34,12.0,25.0,27.0,22.0,23.0
35,13.0,26.0,28.0,23.0,24.0
36,13.0,27.0,29.0,24.0,24.0
37,14.0,28.0,30.0,24.0,25.0
38,15.0,28.0,31.0,25.0,26.0
39,16.0,29.0,32.0,26.0,26.0
40,16.0,30.0,33.0,27.0,27.0
41,16.0,31.0,34.0,27.0,28.0
42,17.0,32.0,35.0,28.0,29.0
43,17.0,32.0,36.0,29.0,30.0
44,17.0,33.0,37.0,30.0,30.0
45,17.0,34.0,38.0,31.0,31.0
46,17.0,35.0,39.0,31.0,31.0
47,17.0,36.0,39.0,31.0,32.0
48,17.0,37.0,40.0,32.0,33.0
49,17.0,37.0,40.0,32.0,34.0
50,17.0,38.0,41.0,33.0,35.0
51,18.0,38.0,42.0,34.0,36.0
52,18.0,39.0,43.0,35.0,37.0
53,18.0,40.0,44.0,36.0,38.0
54,18.0,41.0,45.0,36.0,39.0
55,18.0,42.0,46.0,37.0,40.0
56,19.0,43.0,47.0,38.0,41.0
57,19.0,43.0,48.0,39.0,42.0
58,19.0,44.0,49.0,40.0,43.0
59,20.0,45.0,50.0,41.0,43.0
60,21.0,46.0,51.0,41.0,43.0
61,21.0,46.0,52.0,42.0,44.0
62,21.0,47.0,52.0,43.0,45.0
63,21.0,47.0,53.0,44.0,46.0
64,22.0,48.0,54.0,45.0,47.0
65,22.0,49.0,55.0,46.0,48.0
66,23.0,50.0,56.0,47.0,49.0
67,24.0,50.0,57.0,48.0,50.0
68,24.0,51.0,58.0,49.0,51.0
69,24.0,52.0,59.0,50.0,52.0
70,24.0,53.0,60.0,51.0,53.0
71,24.0,54.0,61.0,52.0,54.0
72,25.0,55.0,62.0,53.0,55.0
73,26.0,55.0,63.0,54.0,56.0
74,26.0,56.0,64.0,55.0,57.0
75,27.0,57.0,65.0,56.0,58.0
76,27.0,58.0,66.0,57.0,59.0
77,27.0,59.0,67.0,58.0,60.0
78,27.0,60.0,68.0,59.0,61.0
79,27.0,61.0,69.0,60.0,61.0
80,28.0,62.0,70.0,61.0,62.0
81,28.0,62.0,71.0,61.0,62.0
82,29.0,63.0,72.0,62.0,63.0
83,29.0,64.0,72.0,63.0,64.0
84,30.0,65.0,73.0,64.0,65.0
85,31.0,66.0,74.0,65.0,65.0
86,31.0,67.0,75.0,66.0,66.0
87,31.0,68.0,76.0,67.0,67.0
88,32.0,69.0,77.0,67.0,68.0
89,32.0,70.0,78.0,68.0,68.0
90,33.0,70.0,78.0,69.0,69.0
91,33.0,70.0,79.0,70.0,70.0
92,33.0,71.0,80.0,70.0,71.0
93,34.0,71.0,81.0,71.0,72.0
94,34.0,71.0,81.0,72.0,73.0
95,35.0,72.0,82.0,73.0,74.0
96,36.0,73.0,83.0,73.0,75.0
97,36.0,73.0,84.0,74.0,76.0
98,37.0,74.0,84.0,75.0,77.0
99,38.0,75.0,85.0,76.0,77.0
